f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,conversion,treatment,split
26.719153469503848,10.059654474774549,8.214382844395335,4.679881620097284,10.280525225748212,4.115453421277861,-2.411114577488788,4.833814577796811,3.971857989350875,13.190055934673358,5.300374864042156,-0.1686792210005612,0,1,train
13.996610734983758,10.67951260623903,8.297544956886131,-3.593018475201019,11.02958446403841,3.01306434186306,-16.66070729092675,7.606717631152707,3.856828566544505,34.40421671166151,5.88767391209579,-0.2673502399367461,0,1,train
26.189158208998823,10.059654474774549,8.214382844395335,4.679881620097284,10.280525225748212,4.115453421277861,-2.411114577488788,4.833814577796811,3.971857989350875,13.190055934673358,5.300374864042156,-0.1686792210005612,0,1,train
25.000694822091077,10.059654474774549,8.295707894573223,4.679881620097284,10.280525225748212,4.115453421277861,-7.301016860209794,4.833814577796811,3.7599097720864014,41.352673527923855,5.300374864042156,-0.1686792210005612,0,1,train
12.616364906986496,10.059654474774549,8.76977204026324,4.679881620097284,10.280525225748212,4.115453421277861,0.294442711255606,4.833814577796811,3.9553959684262416,13.190055934673358,5.300374864042156,-0.1686792210005612,0,1,train
12.616364906986496,10.059654474774549,8.648121439586689,4.679881620097284,10.280525225748212,4.115453421277861,0.294442711255606,4.833814577796811,3.94371597870175,18.38011186934672,5.300374864042156,-0.1686792210005612,0,1,train
14.216898743400836,10.059654474774549,8.427169458177278,-1.6663959712267502,14.23409927752952,3.01306434186306,-17.582067978251438,9.93183939685724,3.741588960322024,48.17864667584915,5.598898742789778,-0.5347004798734922,0,0,train
12.616364906986496,10.059654474774549,8.99106053356023,4.679881620097284,10.280525225748212,4.115453421277861,0.294442711255606,4.833814577796811,3.9346562748271774,13.190055934673358,5.300374864042156,-0.1686792210005612,0,1,train
12.616364906986496,10.059654474774549,8.830175509783418,4.679881620097284,10.280525225748212,4.115453421277861,0.294442711255606,4.833814577796811,3.94371597870175,13.190055934673358,5.300374864042156,-0.1686792210005612,0,1,train
12.616364906986496,10.059654474774549,8.938098353142685,4.679881620097284,10.280525225748212,4.115453421277861,0.294442711255606,4.833814577796811,3.9553959684262416,13.190055934673358,5.300374864042156,-0.1686792210005612,0,1,train
12.616364906986496,10.059654474774549,8.441726622270489,4.679881620097284,10.280525225748212,4.115453421277861,0.294442711255606,4.833814577796811,3.9346562748271774,20.05093668875496,5.300374864042156,-0.1686792210005612,0,1,train
24.296874885715184,10.059654474774549,8.911864953793806,4.679881620097284,10.280525225748212,4.115453421277861,-5.576413692425332,4.833814577796811,3.9346562748271774,13.190055934673358,5.300374864042156,-0.1686792210005612,0,1,train
12.616364906986496,10.059654474774549,8.720427545706064,4.679881620097284,10.280525225748212,4.115453421277861,0.294442711255606,4.833814577796811,3.902644638548389,13.190055934673358,5.300374864042156,-0.1686792210005612,0,1,train
